sample	AHL	fluo	IPTG	mean	median	mode
G	0	GREEN	1	577.235694201273	553.5	498.25
G	0	RED	1	458.273282170644	451.25	447
G	0.003125	GREEN	1	483.516526927158	456.25	371.75
G	0.003125	RED	1	506.263110783037	503	488
G	0.00625	GREEN	1	450.235484439543	409.5	316.25
G	0.00625	RED	1	537.983853080427	537.5	528.75
G	0.0125	GREEN	1	426.62873912361	393.375	336.25
G	0.0125	RED	1	586.238077532647	580.5	549.5
G	0.025	GREEN	1	391.641589595992	373.5	308
G	0.025	RED	1	609.816201897499	606.5	605.5
G	0.05	GREEN	1	392.562195812917	381	287.75
G	0.05	RED	1	680.524286151468	678.25	686.25
R	0	GREEN	1	555.525133596128	530	474
R	0	RED	1	455.098456661132	447	433
R	0.003125	GREEN	1	469.833181094787	438.5	353.5
R	0.003125	RED	1	511.480696254582	506.5	496
R	0.00625	GREEN	1	436.200560959618	389.5	350
R	0.00625	RED	1	557.588849369323	549.5	545.5
R	0.0125	GREEN	1	425.851372586512	390	345
R	0.0125	RED	1	595.359199015907	586.5	562
R	0.025	GREEN	1	424.944335185012	413	345
R	0.025	RED	1	648.72725046126	645.5	627
R	0.05	GREEN	1	421.931481938893	419	345
R	0.05	RED	1	701.617521202131	703	723.5
