sample	AHL	fluo	IPTG	mean	median	mode
R	0.0125	RED	0.0625	397.522423097998	394	370.5
R	0.0125	RED	0.125	516.279234644679	514	498
R	0.0125	RED	0.25	542.486205215298	541.5	518.5
R	0.0125	RED	0.5	578.12816071696	570	548
R	0.0125	RED	1	595.359199015907	586.5	562
R	0.025	GREEN	0	819.369226960661	827.5	847.5
R	0.025	GREEN	0.0625	594.221757338854	615	559
R	0.025	GREEN	0.125	405.637530436959	364	345
R	0.025	GREEN	0.25	413.115513300676	377.5	345
R	0.025	GREEN	0.5	405.03540707004	387.5	351
R	0.025	GREEN	1	424.944335185012	413	345
R	0.025	RED	0	292.54165353082	295	292.5
R	0.025	RED	0.0625	459.6563644308	449.5	395
R	0.025	RED	0.125	574.177741000902	565.5	542.5
R	0.025	RED	0.25	596.196799897865	588.5	571
R	0.025	RED	0.5	627.752475141406	620	617.5
R	0.025	RED	1	648.72725046126	645.5	627
R	0.05	GREEN	0	868.302033271158	877	895.5
R	0.05	GREEN	0.0625	407.757408648215	376.5	351
R	0.05	GREEN	0.125	406.418099683004	389	345
R	0.05	GREEN	0.25	414.134866701316	404.5	364.5
R	0.05	GREEN	0.5	422.060194302577	416	351
R	0.05	GREEN	1	421.931481938893	419	345
R	0.05	RED	0	298.95910506428	299.5	306.5
R	0.05	RED	0.0625	598.555045694608	586	544.5
R	0.05	RED	0.125	638.675050076131	632	592
R	0.05	RED	0.25	664.064991253448	662	638.5
R	0.05	RED	0.5	690.934489067587	689	670.5
R	0.05	RED	1	701.617521202131	703	723.5
