sample	AHL	IPTG	gate	mean	sd
G	0.0125	0	1	0.999953773408378	4.94329865168892e-05
G	0.0125	0	2	4.62265916222026e-05	4.94329865168857e-05
G	0.0125	0.0625	1	0.999948920705304	5.4607724616714e-05
G	0.0125	0.0625	2	5.10792946955961e-05	5.46077246167279e-05
G	0.0125	0.125	1	0.999807774785375	0.000123878951031612
G	0.0125	0.125	2	0.000192225214624967	0.000123878951031606
G	0.0125	0.25	1	0.981544632206862	0.0108783036216926
G	0.0125	0.25	2	0.0184553677931379	0.0108783036216926
G	0.0125	0.5	1	0.181955275151626	0.100056987065604
G	0.0125	0.5	2	0.818044724848374	0.100056987065604
G	0.0125	1	1	0.119142039551819	0.0438930963431234
G	0.0125	1	2	0.880857960448181	0.0438930963431234
G	0.025	0	1	0.99918278223422	0.00106693285723441
G	0.025	0	2	0.000817217765779662	0.00106693285723443
G	0.025	0.0625	1	0.999694271330302	0.000231410223416467
G	0.025	0.0625	2	0.000305728669697549	0.000231410223416467
G	0.025	0.125	1	0.98794784297785	0.0191523651339352
G	0.025	0.125	2	0.0120521570221498	0.0191523651339352
G	0.025	0.25	1	0.770146498476251	0.16298422294208
G	0.025	0.25	2	0.229853501523749	0.16298422294208
G	0.025	0.5	1	0.043300162220497	0.0275390102622125
G	0.025	0.5	2	0.956699837779503	0.0275390102622125
G	0.025	1	1	0.0268624028795602	0.0166988858332489
G	0.025	1	2	0.97313759712044	0.0166988858332489
G	0.05	0	1	0.988796378557307	0.0190542315475898
G	0.05	0	2	0.0112036214426929	0.0190542315475898
G	0.05	0.0625	1	0.878158145736776	0.223853405086675
G	0.05	0.0625	2	0.121841854263224	0.223853405086675
G	0.05	0.125	1	0.997103131976579	0.000940742814454962
G	0.05	0.125	2	0.00289686802342132	0.000940742814454958
G	0.05	0.25	1	0.38334325143112	0.214435695607339
G	0.05	0.25	2	0.61665674856888	0.214435695607339
G	0.05	0.5	1	0.00610035358011616	0.00433637120608903
G	0.05	0.5	2	0.993899646419884	0.00433637120608904
G	0.05	1	1	0.00141101091578222	0.000723388041203918
G	0.05	1	2	0.998588989084218	0.00072338804120393
R	0	0	1	0.999949171495375	5.86917016559614e-05
R	0	0	2	5.08285046253939e-05	5.86917016559546e-05
R	0	0.0625	1	0.999946955230214	6.12508242297301e-05
R	0	0.0625	2	5.30447697856991e-05	6.12508242297502e-05
R	0	0.125	1	0.999893730074389	0.000122709940316573
R	0	0.125	2	0.000106269925611052	0.000122709940316605
R	0	0.25	1	0.999837186584175	0.000188000738909034
R	0	0.25	2	0.000162813415825464	0.000188000738909028
R	0	0.5	1	0.999838795589916	6.35761554494942e-05
R	0	0.5	2	0.000161204410084369	6.35761554494559e-05
R	0	1	1	0.999579371065533	3.26864660918479e-06
R	0	1	2	0.000420628934467295	3.26864660920986e-06
R	0.003125	0	1	0.999746192893401	0.000293071202634348
R	0.003125	0	2	0.000253807106598985	0.000293071202634328
R	0.003125	0.0625	1	0.999944988447574	6.35218692033662e-05
R	0.003125	0.0625	2	5.50115524260095e-05	6.35218692033915e-05
R	0.003125	0.125	1	0.998914898616255	6.79778185766117e-06
R	0.003125	0.125	2	0.00108510138374446	6.79778185767031e-06
R	0.003125	0.25	1	0.915321624921247	0.0223716858093316
R	0.003125	0.25	2	0.0846783750787534	0.0223716858093316
R	0.003125	0.5	1	0.750997196463792	0.0070415338744901
R	0.003125	0.5	2	0.249002803536208	0.00704153387449012
R	0.003125	1	1	0.600539480470774	0.127528079734047
R	0.003125	1	2	0.399460519529226	0.127528079734047
R	0.00625	0	1	0.999648591518017	0.000282642907079927
R	0.00625	0	2	0.000351408481983169	0.000282642907079883
R	0.00625	0.0625	1	0.999577494877298	4.07071023649641e-06
R	0.00625	0.0625	2	0.000422505122701693	4.0707102365314e-06
R	0.00625	0.125	1	0.926056157913492	0.00417133691567228
R	0.00625	0.125	2	0.0739438420865075	0.00417133691567228
R	0.00625	0.25	1	0.615932219740042	0.0701032879292884
R	0.00625	0.25	2	0.384067780259958	0.0701032879292884
R	0.00625	0.5	1	0.366846532489959	0.011457841018366
R	0.00625	0.5	2	0.633153467510041	0.011457841018366
R	0.00625	1	1	0.289428249104232	0.0391249556094458
R	0.00625	1	2	0.710571750895768	0.0391249556094458
R	0.0125	0	1	0.9997000904976	0.000113596970138516
R	0.0125	0	2	0.00029990950240046	0.000113596970138527
R	0.0125	0.0625	1	0.996110459440413	0.00164628866904515
R	0.0125	0.0625	2	0.00388954055958657	0.00164628866904517
R	0.0125	0.125	1	0.398716180829868	0.0369619131710705
R	0.0125	0.125	2	0.601283819170132	0.0369619131710706
R	0.0125	0.25	1	0.271364923781622	0.0782499435201376
R	0.0125	0.25	2	0.728635076218378	0.0782499435201376
R	0.0125	0.5	1	0.135144299904254	0.00374784336381497
R	0.0125	0.5	2	0.864855700095746	0.003747843363815
R	0.0125	1	1	0.115544591008756	0.0227421735656041
R	0.0125	1	2	0.884455408991244	0.0227421735656042
R	0.025	0	1	0.997405895113337	0.000902966981707181
R	0.025	0	2	0.00259410488666327	0.000902966981707204
R	0.025	0.0625	1	0.689202325399121	0.0989693733271393
R	0.025	0.0625	2	0.310797674600879	0.0989693733271392
R	0.025	0.125	1	0.116018544550254	0.0134624389613754
R	0.025	0.125	2	0.883981455449746	0.0134624389613754
R	0.025	0.25	1	0.0863486682201121	0.0354371408805133
R	0.025	0.25	2	0.913651331779888	0.0354371408805133
R	0.025	0.5	1	0.0241173291467144	0.00263013755488575
