AHL	IPTG	fluo	minmax	mean
0	0	GREEN	min	545.25
0	0	RED	min	295.5
0.003125	0	GREEN	min	619.625
0.003125	0	RED	min	289.5
0.00625	0	GREEN	min	672.5
0.00625	0	RED	min	290.75
0.0125	0	GREEN	min	764.5
0.0125	0	RED	min	286.25
0.025	0	GREEN	min	806.5
0.025	0	RED	min	287.75
0.05	0	GREEN	min	705.25
0.05	0	RED	min	286.5
0	0	GREEN	max	545.25
0	0	RED	max	295.5
0.003125	0	GREEN	max	619.625
0.003125	0	RED	max	289.5
0.00625	0	GREEN	max	672.5
0.00625	0	RED	max	290.75
0.0125	0	GREEN	max	764.5
0.0125	0	RED	max	286.25
0.025	0	GREEN	max	806.5
0.025	0	RED	max	287.75
0.05	0	GREEN	max	705.25
0.05	0	RED	max	286.5
