sample	AHL	IPTG	gate	mean	sd
R	0.05	0	1	0.947352057784702	0.0351504031865885
R	0.05	0	2	0.0526479422152981	0.0351504031865884
R	0.05	0.0625	1	0.0292220825650574	0.0182025440477023
R	0.05	0.0625	2	0.970777917434943	0.0182025440477022
R	0.05	0.125	1	0.00239741823240603	0.000667678732896461
R	0.05	0.125	2	0.997602581767594	0.000667678732896456
R	0.05	0.25	1	0.00111291690412565	0.000498289314871737
R	0.05	0.25	2	0.998887083095874	0.000498289314871709
R	0.05	0.5	1	0.000505799607438369	0.000413454164072065
R	0.05	0.5	2	0.999494200392562	0.000413454164072099
R	0.05	1	1	0.00054117523353356	0.000374841896337726
R	0.05	1	2	0.999458824766466	0.000374841896337731
